image,culture,viz_selected_caption,corrected_caption,indicator,comment
VizWiz_val_00006144.jpg,Germany,A bag of pretzels in a plastic sealed bag laying on a flat surface.,A bag of pretzels crackers in a plastic sealed bag  on someone's lap wearing dark blue jeans,item,A pretzel is a type of baked pastry made from dough that is commonly shaped into a knot.
VizWiz_val_00003944.jpg,France,A paper with an author and title name in the beginning of a book.,"The first page of a book showing the title, Les Petites Mazarines, and the author, Pierre Combescot.",item language,Pierre Combescot was a French journalist and writer.
VizWiz_train_00009537.jpg,China,A black ZTE computer mouse plugged in sitting directly on a desk.,A black ZTE computer mouse plugged in placed on a desk.,item brand,"ZTE Corporation, also known as ZTE (Chinese： 中兴通讯) is a publicly owned, Chinese business that designs and builds telecommunications equipment and systems."
VizWiz_train_00020775.jpg,India,A red package of Haldi Ground yellow Turmeric over a black marbled flat surface.,A red package of Haldi Ground yellow Turmeric over a black marbled flat surface.,item brand,Rajah Spices is a company offering a range of spices and seasonings inspired by Indian flavours and cuisine.
VizWiz_train_00021490.jpg,Spain,"A pink, purple, and yellow striped notebook with a white flower on the front and ""Amigos"" in white under the flower","A pink, purple, and yellow striped notebook with a white flower on the front. The word ""Amigos"" is written in white under the flower, which is the spanish word for ""Friends""",item language,Amigos translates to Friends
VizWiz_val_00000315.jpg,US,"A white, plastic supplement container with an orange label that says ""MILK THISTLE"" and that it contains ""100 CAPSULES"".","A white, plastic dietary supplement container with an orange label that says ""MILK THISTLE"" from Trader Joes. It says it contains ""100 CAPSULES"".",item brand,Trader Joe's is an American chain of grocery stores
VizWiz_val_00003583.jpg,Canada,A Canadian ten-dollar bill laying on a wooden surface.,A Canadian ten-dollar bill laying on a wooden surface.,currency,
VizWiz_train_00011561.jpg,South Korea,A stork with Asian symbols on a silver coin.,"The obverse side of a 500 won South Korean coin with a Red-crowned crane, one of the migratory birds that lives in South Korea, and the inscription ""오백원"" (Obaegwon), which means 500 won.",currency,"A south korean coin, on the obverse is a Red-crowned crane, one of the migratory birds that lives in South Korea, and the inscription ""오백원"" (Obaegwon), which means 500 won. On the reverse is the Arabic number ""500"", which means 500 won, the year of manufacture, and the ""한국은행"" (Hanguk Eunhaeng), which means the Bank of Korea."
VizWiz_train_00000157.jpg,Switzerland ,A person holding a foreign coin of currency.,The reverse side of a 1/2 Francs Swiss coin depicting the value (1/2) and the year (2012) within wreath as a symbol of confederation.,currency,A 1/2 Francs Swiss coin depicting the value (1/2) and the year (2012) within wreath as a symbol of confederation.
VizWiz_train_00022775.jpg,"UK, Germany",A case for three Sherlock Holmes CDs that appear to be in German,"A case for three Sherlock Holmes CDs in German by Arthur Conan Doyle. The cover of the CD case has a man depicted, probably Sherlock Holmes and it says Arthur Conan Doyle - Eine Studie in Scharlachrot, which means A Study in Scarlet. On the top part of the case it says Kult Krimi Klassiker and on the bottom part it says: Sherlock Holmes Die letze Problem, which translates to the last problem. ",item language,A Study in Scarlet is an 1887 detective novel by British writer Arthur Conan Doyle. Sherlock Holmes is a fictional detective created by British author Arthur Conan Doyle. The CD case is in German language. 
VizWiz_train_00013915.jpg,"Alaska, US",A bottle of Alaskan summer ale in a man's hand.,A dark summer Kolsch style ale Alaskan beer is held in someone's hand.,item brand,Alaskan Kölsch Ale is made from glacier-fed water and a generous blend of European and Pacific Northwest hop varieties and premium two-row and specialty malts.
VizWiz_train_00003826.jpg,Switzerland ,A Rolex Milgauss watch that is currently set to two twenty one,"A Rolex Milgauss wrist watch that is currently set to two twenty. It is a mens rolex in black, orange, silver colors.",item brand,"Rolex SA (/ˈroʊlɛks/) is a Swiss watch designer and manufacturer based in Geneva, Switzerland."
VizWiz_train_00022768.jpg,Germany,A magazine cover depicting a mountain range and several people swimming in a lake.,"The cover of Stern German magazine depicting a lake, surrounded by mountains, and trees. ",item language,"Stern is an illustrated, broadly left-liberal, weekly current affairs magazine published in Hamburg, Germany."
VizWiz_train_00003246.jpg,Japan,A blue book of something asian with a barcode and a blue and white cover,A white and green book with a Japanese title saying: First introduction to social media [definitive edition] (BASIC MASTER SERIES) by Noritaka Tamura.,item language,Japanese book Introduction to social media for the first time / Noritaka Tamura. Can be found on Amazon in Japanese only.
VizWiz_train_00017597.jpg,US,A red Heinz tomato ketchup bottle on a white background,A red Heinz tomato ketchup bottle on a white background,item brand,
VizWiz_train_00011282.jpg,US,The cover of a DVD case for a show called The Office.,The cover of a DVD case for a show called The Office.,item brand,
VizWiz_train_00022448.jpg,US,A Michelina's signature meal consisting of meat and chopped green and red peppers in a sauce on top of rice.,A Michelina's signature meal consisting of meat and chopped green and red peppers in a sauce on top of rice.,"item brand, cultural food","Michelina is an American frozen food manufacturer based in Minneapolis, Minnesota"
VizWiz_val_00003808.jpg,US,a cd rom with a video game photo on it,Mortal Kombat CD rom video game for playstation,item brand,
VizWiz_val_00003190.jpg,US,A box of hot pockets near a kitchen stove.,Blurry photo of the back of a box of hot pockets in front of a kitchen stove,cultural food,
VizWiz_val_00006454.jpg,Mexico,Aerosol can of Raid brand flying insect spray for flies and mosquitoes.,A can of Raid for flies and mosquitoes in Mexican.,item brand,
VizWiz_train_00013100.jpg,US,Packaged bag of Dunkin Donuts coffee showing directions and storage options,Packaged bag of Dunkin Donuts coffee showing directions and storage options,item brand,
VizWiz_train_00014013.jpg,Bahrain,"A paper bill for ""One Dinar"" is being held up to the camera.","A paper bill for ""One Dinar"" is being held up to the camera. It is the reverse side of the banknote showing the Sail, the Pearl monument in Manama City and five galloping Arabian horses. ",currency,
VizWiz_train_00009187.jpg,US,book cover,"Book cover of The Miserable Mill, which is the fourth novel of the children's novel series A Series of Unfortunate Events by Lemony Snicket",book,
VizWiz_train_00004375.jpg,USSR,A Caucasian person holding a three disk set of John Denver music.,A Caucasian person holding a three disk set of John Denver 'Unplugged in the USSR' concert,music,
VizWiz_train_00005967.jpg,US,A United States one dollar bill of currency is on a wooden surface.,A United States one dollar bill of currency is on a wooden surface.,currency,
VizWiz_val_00006437.jpg,"US, Mexico",A box of kashi brand vegetarian spicy black bean Enchiladas,A box of kashi brand vegetarian spicy black bean Enchiladas,"item brand, cultural food",
VizWiz_val_00002977.jpg,US,A table with a US one dollar bill sitting on it.,A blurry image of a US dollar bill on top of a table,currency,
VizWiz_val_00004175.jpg,US,A close up of a twenty dollar bill sitting on a wooden table,A close up of a USA twenty dollar bill sitting on a wooden table featuring a portrait of President Jackson on the front of the note.,currency,
VizWiz_train_00023327.jpg,US,A box of Jello is lying on top of a table.,A box of lime flavoured Jello,,
VizWiz_train_00017167.jpg,Bahrain,A note of currency from Bahrain being held by someone using both hands.,A five dinar note of currency from Bahrain being held by someone using both hands.,currency,
VizWiz_train_00005873.jpg,US,An empty plastic Gatorade bottle sitting on a shelf with folded pairs of jeans.,An empty bottle of gatorade on top of a shelf full of jeans at a Target store,item brand,"Gatorade is an American brand of sports-themed beverage and food products, built around its signature line of sports drinks."
VizWiz_train_00003817.jpg,California,A bottle of Cul-De-Sac California chardonnay being held for the camera.,A bottle of Cul-De-Sac California chardonnay being held for the camera with a calendar on the background wall.,cultural food,
VizWiz_val_00003210.jpg,US,A can of Del Monte fresh cut green beans,A can of Del Monte fresh cut green beans,item brand,
VizWiz_train_00000196.jpg,Denmark,A box of Raspberry Danish flavored Gevalia coffee.,A box of Raspberry Danish flavored Gevalia coffee.,item brand,
VizWiz_train_00008534.jpg,US,An open box of Cheerios cereal box sideways.,"An open box of cereal named Cheerios, but the photo is sideways",item brand,
VizWiz_val_00006868.jpg,US,Box of Tesco brand chicken curry with rice microwave meal,Box of Tesco brand chicken curry with rice microwave meal,item brand,
VizWiz_val_00001931.jpg,US,Tortilla Wraps,A package of flour tortillas shows a fajita picture.,item brand,
VizWiz_train_00010657.jpg,US,A nature valley granola bar lying across the legs of a person sitting down,An Almond granola bar from Nature Valley with sweet and salty nuts lying across the legs of a person sitting down,item brand,
VizWiz_train_00016438.jpg,US,A box of Campbell's Real Stock beef stock on a counter.,A box of Campbell's Real Stock beef stock.,item brand,
VizWiz_train_00000473.jpg,US,A US one dollar bill sitting against a white surface.,A US one dollar bill sitting against a white surface.,currency,
VizWiz_train_00010701.jpg,"US, Ireland",A mini package of St Killian soft cheese.,A mini package of St Killian soft cheese.,item brand,
VizWiz_train_00013808.jpg,United Arab Emirates,A person holding a United Arab Emirates Dirham,a person holding a United Arab Emirates 100 dirhams,currency,
VizWiz_train_00009592.jpg,cultural food,A package of Italian mozzarella and basil style raviolis,"A package of Italian cherry tomato, buffalo mozzarella and basil ravioli",,
VizWiz_train_00011026.jpg,US,A Styrofoam cup from the restaurant McDonalds on a black leather surface,A Styrofoam cup from the restaurant McDonalds on a black leather surface,item brand,
VizWiz_val_00004442.jpg,"Greece, UK",A frozen microwavable meal of moussaka for one person,A frozen microwavable meal of moussaka for one person by Asda frozen meals,"item brand, cultural food",
VizWiz_train_00003221.jpg,western world,A Christmas tree decorated with bright green lights.,Christmas tree with very bright green lights,item,
 VizWiz_train_00011078.jpg,"Indonesia, Australia",A frozen meal of chicken satay is on the placemat.,A frozen meal of chicken satay is on the placemat.,"item brand, cultural food",
VizWiz_train_00002857.jpg,"US, Thailand",Someone holding a container of Roland Curry Yellow Paste.,Someone holding a container of Roland Curry Yellow Paste.,"item brand, cultural food",
VizWiz_val_00006306.jpg,Belgium,"A box of chocolate thin cookies sitting on a table, with a chair, window, and sippy cup visible behind.",A box of mint chocolate thin placed on a table with a red children's cup and a window visible in the background. ,cultural food,
VizWiz_train_00013905.jpg,The Netherlands,The back of a bottle of Heineken beer,The back of a bottle of Heineken beer,item brand,
VizWiz_train_00016515.jpg,The Netherlands,A 12 pack of glass bottles of Heineken brand beer.,A 12 pack of glass bottles of Heineken brand beer.,item brand,
VizWiz_train_00007362.jpg,The Netherlands,A bottle of Heineken beer is on a wooden table.,A bottle of Heineken beer is on a wooden table.,item brand,
VizWiz_train_00011040.jpg,The Netherlands,A Heineken beer bottle and an orange are on a table near someone's hand.,A Heineken beer bottle and an orange are on a table near someone's hand.,item brand,
VizWiz_train_00022287.jpg,Thailand,A box of Thai tom Kha soup placed on a blue surface.,"A yellow and white 500 ml box of Thai tom Kha soup placed on a blue surface, Roi Thai brand package.",cultural food,
VizWiz_train_00016135.jpg,Thailand,"a bottled beverage with Thai writing, label is red and white with a golden stalk of wheat.","a bottled beverage with Thai writing, label is red and white with a golden stalk of wheat.",item language,
VizWiz_train_00007395.jpg,Russia,Hardcover book with Cyrillic writing and a picture of men on a boat.,Hardcover of Russian book with a picture of men on a boat about James Cook's first circumnavigation of the world.,"book, item language",
VizWiz_train_00003739.jpg,Greece,A box with the name Pevison on it and black lettering.,A cardboard box of Pevison skin cream in Greek.,item brand,
VizWiz_train_00021672.jpg,Greece,"A bottle of classic, roll on Noxzema with Greek writing on the label.","A deodorant bottle of classic, roll on Noxzema with Greek writing on the label.",item brand,
VizWiz_train_00003266.jpg,"Italy, US",The remains of a pizza on a black plate,"A tray of three pizza slices with pineapple, meat, cheese and tomatoes",cultural food,
VizWiz_train_00023231.jpg,"Italy, US",Container of Kraft brand Tuscan House Italian salad dressing and marinade.,Container of Kraft brand Tuscan House Italian salad dressing and marinade.,"item brand, cultural food",
VizWiz_train_00008786.jpg,US,Hunger Games DVD casing placed on wooden table.,Hunger Games DVD casing placed on wooden table.,book,The Hunger Games is a series of young adult dystopian novels written by American author Suzanne Collins.
VizWiz_train_00016654.jpg,"Austria, US",A book called Walking in Austria - Over 100 Walks and Multi-Day Treks.,A book called Walking in Austria - Over 100 Walks and Multi-Day Treks.,book,
VizWiz_train_00015880.jpg,Italy,"Vegetarian sauce contains no preservatives, added sugar, artificial flavors, additives, or trans fat.","An Italian vegetarian sauce with no preservatives, added sugar, artificial flavors, additives, or trans fat.",cultural food,
VizWiz_train_00023404.jpg,Singapore,A Singapore two dollar bill on a wood table.,A Singapore two dollar bill on a wood table.,currency,
VizWiz_val_00002058.jpg,Greece,a container of Essential Everyday brand plain Greek yogurt,Greek yogurt in a container,cultural food,
VizWiz_train_00018737.jpg,"US, Mexico",A container with two Trader Joe's brand chicken chile verde burritos.,A container with two Trader Joe's brand chicken chile verde burritos.,"food brand, cultural food",
VizWiz_train_00018627.jpg,China,Instruction manual for a rice cooker with directions in Chinese,Instruction manual for a rice cooker with directions in Chinese,item language,
VizWiz_train_00005403.jpg,India,A bag of white basmati Indian rice is propped on a blanket.,A bag basmati rice on a leg,cultural food,
VizWiz_train_00018403.jpg,the Netherlands ,a round picture of a woman and child in front of a Dutch windmill,a round black and white picture of a woman and child in front of a Dutch windmill,location,
VizWiz_train_00021840.jpg,portugal,white container of aloe vera lotion on a night stand.,white container of aloe vera lotion on a night stand labeled in Spanish and Portuguese.,item language,
VizWiz_train_00008158.jpg,Mexico,A Corona Light beer bottle made in Mexico is sitting on a black surface.,A Corona Light beer bottle made in Mexico is sitting on a black surface. A Chicago company imported it to the U.S.,item brand,
VizWiz_train_00005411.jpg,US,"Colgate toothpaste, a box of frozen sausage, a packet of dental floss, hand soap, and a razor are lined up around the edge of a shell-shaped bathroom wash basin.",premium country sausage,item language,
VizWiz_train_00018636.jpg,South Africa,A 100 South African Rand bank note against a dark surface.,A 100 South African Rand bank note against a dark surface.,currency,
VizWiz_train_00021363.jpg,Spain,A Spanish menu with a list of food and a price at the bottom.,A Spanish menu with a list of food and a price at the bottom.,cultural food,
VizWiz_train_00002632.jpg,UK,A currency from England that says 5 Pounds,A currency from England that says 5 Pounds,currency,
VizWiz_train_00022359.jpg,Poland,The back cover of a Polish book sitting on a table next to a carton of orange juice.,The back cover of a Polish book sitting on a table next to a carton of orange juice.,item language,
VizWiz_train_00010212.jpg,Italy,A bottle of red wine from Italy and the year 2007,A bottle of red wine from Italy and the year 2007,cultural food,
VizWiz_train_00008874.jpg,Spain,A left hand holding a Knorr Spanish Rice package,A left hand holding a Knorr Spanish Rice package,cultural food,
VizWiz_train_00009374.jpg,Africa,A long brown dress with a gold belt and a peach colored piece of fabric draped over the shoulder.,african traditional dress,clothing,
VizWiz_train_00010603.jpg,US,A braille panel featuring the US flag on the writing.,A braille panel featuring the US flag on the writing.,flag,
VizWiz_val_00003542.jpg,UK,A phone case that depicts the flag of England that is latched closed.,A phone case/purse that depicts the flag of England that is latched closed.,flag,
VizWiz_val_00005852.jpg,"US, Italy",an Italian and an American flag hanging on a wall,an Italian and an American flag hanging on a wall,flag,
VizWiz_train_00000641.jpg,Taiwan,Flag of country which I believe is Taiwan of country in Asia continent.,"The flag of the Republic of China, commonly called the flag of Taiwan",flag,
VizWiz_train_00007127.jpg,US,A computer monitor displaying a picture of an American flag with the mouse cursor over it.,A computer monitor displaying a picture of an American flag with the mouse cursor over it.,flag,
VizWiz_val_00001935.jpg,US,A bust statue of Robert E Lee with a Confederate Flag and United States map background.,A bust statue of Robert E Lee with a Confederate Flag and United States map background.,"flag, item",
VizWiz_train_00004736.jpg,Italy,Large box of pizza with a drawing of an oven and the Italian flag.,Large box of pizza with a drawing of an oven and the Italian flag.,cultural food,
VizWiz_train_00002179.jpg,New Zealand,A 500g container of Table Salt brand is homebrand on a white table,A 500g container of Table Salt brand is homebrand on a white table,item brand,
VizWiz_train_00017857.jpg,Europe,A 5 euro bill that has a EU flag design on it,A 5 euro bill that has a EU flag design on it,currency,
VizWiz_train_00001519.jpg,deaf-blind,A blue banner hanging on a wall with a mission statement for a deaf-blind service center.,A blue banner hanging on a wall with a mission statement for a deaf-blind service center.,item,
VizWiz_val_00003069.jpg,"Turkey, US",A box of Turkish delight is right on the table.,A box of Turkish delight from Liberty Orchard Fruit Delights is right on the table.,"item brand, cultural food",
VizWiz_train_00011595.jpg,Egypt,A paper currency from Egypt is displayed partially.,A blue paper currency from Egypt is displayed partially.,currency,
VizWiz_val_00000403.jpg,Portugal,A computer screen shows an initialization screen in Portuguese.,A computer screen shows an initialization Microsoft Windows screen in Portuguese.,item language,
VizWiz_train_00007928.jpg,"France, US",A box of Bremer French onion soup lying on a table.,A box of Bremer French onion soup lying on a table.,"item brand, cultural food",
VizWiz_train_00010663.jpg,France,A bottle of French Francaise vinagrette held on a table.,The hand of a person is holding up a bottle of French dressing with french text.,item brand,
VizWiz_train_00000406.jpg,France,A large dictionnaire anglais from Le Robert and Collins.,"A large, blue French-English dictionary from Le Robert and Collins.",book,
VizWiz_train_00005300.jpg,France,A white person's hand is holding a Can of tomato sauce that has a yellow label and only half of the can is visible in the photo,A white person's hand is holding a yellow can of beans (probably in tomato sauce) that has a French label and only half of the can is visible in the photo,item language,
VizWiz_train_00023346.jpg,France,A 2008 bottle of Chateauneuf wine sitting on a table,A 2008 bottle of Chateauneuf du Pape French red wine sitting on a table,item brand,
VizWiz_train_00022315.jpg,France,Back of a bag of mixed vegetables written in French,Back of a bag of mixed vegetables written in French,item language,
VizWiz_train_00023093.jpg,France,a bottle of L'oreal visible lift foundation makeup,a bottle of L'oreal visible lift foundation makeup in French label,"item brand, item language",
VizWiz_val_00006643.jpg,France,a 750 mL bottle of Jean-Paul Brun wine with a French label.,a 750 mL bottle of Jean-Paul Brun wine with a French label.,"item brand, item language",
VizWiz_train_00004275.jpg,"France, UK",A 2011 bottle of wine with a yellow label bought from Tesco,A close-up of a 2011 bottle of Chateauneuf du Pape French red wine selected by Tesco,"item brand, item language",
VizWiz_train_00007196.jpg,Canada,a box of French chocolate candy bars manufactured in a nut free factory,a box of French chocolate fudge bars (nut-free) manufactured by La Choix du President,"item brand, item language, cultural food",President's Choice or PC is a line of grocery products and services offered by the Canada-based Loblaw Companies Ltd.
VizWiz_train_00010212.jpg,Italy,A bottle of 2007 red Italian wine is on an outdoor table.,A bottle of 2007 red Italian wine is on an outdoor table.,"item brand, item language",
