image_path	prompt	ground_truth	response
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000036.jpg	answer en What is the title of this book?	['dog years', 'dog years', 'dog years', 'dog years', 'unanswerable', 'dog years', 'unanswerable', 'dog years', 'dog years', 'dog years']	dog years
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000037.jpg	answer en Hi, I just wanted to confirm that these are indeed pork chops. Any other information that is clear would be appreciated. Thank you.	['yes', 'yes', 'yes kirkland signature pork chops', 'yes porkchops', 'yes', 'yes', 'yes', 'yes', 'yes loin chops', 'yes']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000038.jpg	answer en Please tell me what this is.	['unanswerable', 'too blurry', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'duffel bag', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000039.jpg	answer en What denomination is this?	['unanswerable', '0 pictured', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', '5']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000040.jpg	answer en Please tell me what is in this food packaging. I know it's a Tesco's Indian meal of some kind. 	['indian beef rice', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'beef madras rice', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000041.jpg	answer en What is this receipt about and is there a phone number?	['unanswerable', 'unanswerable', 'unsure', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000042.jpg	answer en What does this fortune cookie say?	['unanswerable', 'unanswerable', 'too blurry', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000043.jpg	answer en Tell me what's in this photo.	['part person', 'unanswerable', 'person', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'person in kitchen', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000044.jpg	answer en Able on my vacuum I need the serial number and model number.	['unanswerable', 'unanswerable', 'too blurry', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000045.jpg	answer en What is the expiration date on this bus pass?	['jul 08 11', 'unanswerable', 'blurry', 'july 08 11', 'jul 08 11', 'july 8 2011', 'unanswerable', 'unanswerable', 'jul 0811', 'july 8 2011']	jul 08 11
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000046.jpg	answer en How big is my TV and what is on the screen, and what is the model number, and what brand is it?	['32 inch sporting event unanswerable for rest', 'unanswerable', 'unsure', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000047.jpg	answer en what is this we taking a picture of?	['boobs', 'unanswerable', 'boobs', 'chest', 'fingers floral fabric part green shirt button pocket', 'chest', 'clothing', 'cleavage', 'shirts', 'shirt']	person
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000048.jpg	answer en What store is this?	['original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'pancake house', 'pancake house']	original pancake house
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000049.jpg	answer en What kind of pop is this?	['nestea', 'unanswerable', 'nestle tea', 'unanswerable', 'orange nestea', 'orange juice', 'unanswerable', 'nestea', 'orange', 'nestle']	nestea
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000050.jpg	answer en Screen showing.	['yes', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'words']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000051.jpg	answer en What letters am I supposed to enter in to claim the prize?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000052.jpg	answer en Can you tell me if there is a model on here please? Thank you.	['yes', 'unanswerable', 'unanswerable', 'wertell', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'yes']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000053.jpg	answer en Hello there, are you able to see what's on this LCD screen and if it's expecting any input from the user, as in, does it have a next button, back button?	['no', 'no cant see', 'yes', 'unanswerable', 'yes has back next button', 'unanswerable', 'yes however words illegible', 'yes', 'error alert dialog box 2 buttons ok cancel', 'yes yes']	no
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000054.jpg	answer en What's the name of the drink?	['irnbru', 'irn bru', 'irnbru barr', 'barr irn bru sugar free', 'barr irn bru sugar free', 'irn bru', 'irn bru', 'irn barr bru', 'irn barr bru sugar free', 'irn bru']	irnbru
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000055.jpg	answer en Where do you think I could get a power cord? 	['forest hill maryland', 'amazon', 'biazie engineering', 'blaze engineering', 'unanswerable', 'unanswerable', 'unanswerable', 'any hardware store', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000056.jpg	answer en Specials on this menu.	['beef seafood', 'dont see any', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'shrimp']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000057.jpg	answer en What is on the pillowcase?	['texas logo', 'sports team logo', 'texas', 'texas longhorns', 'texas', 'texas', 'texas longhorn', 'texas', 'texas', 'texas']	texas
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000058.jpg	answer en I cannot move the camera slightly closer to the monitor.	['yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000059.jpg	answer en What does the label say on this electronic component?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'seagate']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000060.jpg	answer en Please tell me the them of this book	['clive cussler dirk cussler', 'unanswerable', 'clive cussler dirk cussler', 'clive cussler dirk cussler', 'sci fy', 'suspense', 'olive cussler dirk cussler', 'action', 'unanswerable', 'clive cussler']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000061.jpg	answer en What is this?	['email tab', 'desktop', 'close up computer screen', 'computer screen', 'computer screen', 'program window', 'computer screen', 'unanswerable', 'screen', 'unanswerable']	computer screen
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000062.jpg	answer en What website is this?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'site about iphone in app purchases']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000063.jpg	answer en Alright see if you can see the ORCA serial number now.	['no serial number', 'no', 'unanswerable', 'unanswerable', 'no', 'no', 'unanswerable', 'unanswerable', 'unanswerable', 'no']	no
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000064.jpg	answer en What is the person doing?	['looking at computer screen', 'watching computer screen', 'working on computer', 'looking at computer', 'sitting', 'looking at computer', 'sitting at computer', 'looking at screen', 'computing', 'sitting at desktop computer on desk']	working
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000065.jpg	answer en Could you please tell me what's on my screen?  	['no', 'white black screen', 'unanswerable', 'unanswerable', 'white box', 'unanswerable', 'unanswerable', 'unanswerable', 'blank', 'pop up without options text']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000066.jpg	answer en Product key for this version of Office.	['unanswerable', 'unanswerable', 'yes', 'cannot read product key', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'yes']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000067.jpg	answer en What's the website?	['unanswerable', 'unanswerable', 'unanswerable', 'cannot read url image too far away', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'geeks on leash']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000068.jpg	answer en What does the screen say?	['windows please', 'unanswerable', 'unanswerable', 'image cutoff cant read', 'unanswerable', 'please wait', 'unanswerable', 'unanswerable', 'windows', 'please wait windows']	windows
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000069.jpg	answer en Can you tell me what this bottle says?	['warm vanilla sugar', 'sugar', 'warm vanilla sugar', 'warm vanilla sugar', 'warm vanilla sugar body lotion', 'warm vanila sugar', 'warm vanilla sugar body lotion', 'warm vanilla sugar', 'warm vanilla sugar body lotion', 'warm vanilla sugar']	warm vanilla sugar
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000070.jpg	answer en About this one, thank you.	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000071.jpg	answer en What is this item	['unanswerable', 'plastic case', 'cellphone', 'legs', 'receipt', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'medical product code number']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000072.jpg	answer en what does the sky look like in this photograph	['cloudy', 'blue sky some clouds', 'blue few clouds', 'blue', 'clear', 'sunny', 'clear', 'clear', 'cloudy', 'partly cloudy sky']	blue clouds
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000073.jpg	answer en Can you tell me what this screen says?	['unanswerable', 'windows repair', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'loading screen', 'image too far away to read']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000074.jpg	answer en Product key for this version of office?	['unanswerable', 'unanswerable', 'blurry', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000075.jpg	answer en Is there anything on the screen?	['yes', 'unanswerable', 'install mac computer', 'install mac', 'install mac', 'yes', 'unanswerable', 'unanswerable', 'yes', 'yes']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000076.jpg	answer en Business card.	['no', 'unanswerable', 'blurry not plan', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000077.jpg	answer en What's on my computer screen?	['pop up window', 'error message', 'white card blue line', 'unanswerable', 'unanswerable', 'open window', 'unanswerable', 'white box', 'box', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000078.jpg	answer en Can see what's on the screen, like is it a log in screen or anything like that? Thank you.	['no', 'error message', 'yes', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'insert password reset disk dialog box', 'yes']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000079.jpg	answer en What is this a medal for?	['america cancer society', 'cancer', 'running', 'unanswerable', 'cancer society', 'american cancer society', 'american cancer society relay for life', 'american cancer society', 'american cancer society', 'unanswerable']	american cancer society
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000080.jpg	answer en What is this show? 	['news stream', 'csi: crime scene investigation', 'csi crime scene investigation', 'csi', 'csi: crime scene investigation', 'unanswerable', 'csi', 'unanswerable', 'csi crime scene investigation', 'unanswerable']	csi crime scene investigation
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000081.jpg	answer en Please tell me the title of this book, thank you for your time.	['crescent dawn', 'unanswerable', 'unanswerable', 'sea greed', 'clive cussle dirk cuss', 'unanswerable', 'unanswerable', 'olive cussler dirk cussler', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000082.jpg	answer en Is my computer performing a disc check? For example, does it say on the screen, \\Checking files system\\, or \\Stage one of four\\ or some such? Thank you. 	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unclear', 'unanswerable', 'unanswerable', 'yes']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000083.jpg	answer en Which one of the three images is the Google logo?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', '0', 'first', 'unanswerable', '1 that say google']	right
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000084.jpg	answer en IS there a picture on this tv screen?	['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'windows icon']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000085.jpg	answer en please explain what is on this piece of paper	['unanswerable', 'stress advertisement', 'stress relieve instructions', 'talks about stress relief', 'unanswerable', 'unanswerable', 'tips to manage stress', 'stress', 'managing stress eating right', 'how to heal stress']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000086.jpg	answer en What bill is this?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unclear', '10', 'unanswerable', 'paper']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000087.jpg	answer en What are the cooking instructions for this?	['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', '0', 'unanswerable', 'unanswerable', '0']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000088.jpg	answer en Is there a button I need to press to make it resume? Or do I just wait?	['system resume', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no', 'wait', 'plug in']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000089.jpg	answer en What does the screen say?	['file', 'unanswerable', 'expanding windows filters', 'thats all information we need right now your computer will resume installation', 'unanswerable', 'unanswerable', 'windows', 'unanswerable', 'unanswerable', 'expanding windows files']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000090.jpg	answer en Is the dialogue more visible in that picture?	['bored', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000091.jpg	answer en What does the small label on this disc say?	['3d disk', 'unanswerable', 'prop quartics inc', 'prop quartics inc', 'prop quartics inc', 'prop quartics inc', 'prop quartics inc', 'prop quartics inc', 'unanswerable', 'prop quartics inc']	prop of quartics inc
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000092.jpg	answer en The previous screen presented country, timezone, currency and keyboard and I went ahead and after I got a response from the web worker I selected Alt-N followed by next so I'm not sure if I 	['windows', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']	unanswerable
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000093.jpg	answer en Is this picture clear, and where are we now?	['card', 'unanswerable', 'no', 'yes unanswerable', 'yes on windows repair screen', 'no', 'no', 'unanswerable', 'yes', 'yes hit close']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000094.jpg	answer en Can you please tell me what the computer screen says within in the VMware workstation window?  Particular to see if there's any progress on the Windows installation.	['unanswerable', 'unanswerable', 'windows install now screen', 'unanswerable', 'windows', 'no', 'windows logo no progress bar', 'unanswerable', 'unanswerable', 'unanswerable']	windows
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000095.jpg	answer en Can you see what's on the screen?	['you sure you want to cancel', 'unanswerable', 'confirm cancel notification', 'unanswerable', 'unanswerable', 'no', 'no', 'no', 'no', 'no']	yes
/mnt/scratch/users/mn2002/vizwiz-culture/data/val/VizWiz_val_00000096.jpg	answer en Is this caffeinated or decaffeinated?	['caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'unanswerable', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated']	unanswerable
